aid,cover_url,title,pubdate,desc,tid,tname,mid,duration,pub_location,bvid,aid爬取时间,视频信息爬取时间,ctime,desc_v2,state,mission_id,view,danmaku,reply,favorite,coin,share,like,argue_info,cid,dimension,honor_reply,participle,sex,face,fans,friend,sign,current_level,Official,official_verify,vip,is_senior_member,archive_count,article_count,like_num,Tags
114763472310225,http://i2.hdslb.com/bfs/archive/e199300a22215697dfae205cd7c663ee818531ee.jpg,为贵州榕江发声，希望更多人关注到，希望很快一切好起来！,1751151857.0,,250.0,出行,393448801.0,75.0,上海,BV1QWgRzDE2s,2025-06-29 18:03:28.862477,1751191459.792051,1751151857.0,,0.0,4034146.0,5809.0,11.0,45.0,36.0,520.0,7.0,1261.0,"{'argue_msg': '', 'argue_type': 0, 'argue_link': ''}",30750477366.0,"{'width': 2160, 'height': 3840, 'rotate': 0}",{},"['原创', '高能', '贵州榕江', '榕江洪水', '自然灾害', '记录', '贵州', '希望', '洪水']",男,https://i1.hdslb.com/bfs/face/60cc7ba68ba386a2556d04ceb234a4402c888e32.jpg,190455.0,37.0,"英国北爱尔兰小伙，励志替你走遍中国每个角落
--距离100w大博主还差你
原创自己拍自己剪纪录片vlog 
不会文案的数学老师不是好的摄影师",6.0,"{'role': 1, 'title': 'bilibili 知名Vlog UP主', 'desc': '', 'type': 0}","{'type': 0, 'desc': 'bilibili 知名Vlog UP主'}","{'type': 2, 'status': 1, 'due_date': 1782489600000, 'vip_pay_type': 1, 'theme_type': 0, 'label': {'path': 'http://i0.hdslb.com/bfs/vip/label_annual.png', 'text': '年度大会员', 'label_theme': 'annual_vip', 'text_color': '#FFFFFF', 'bg_style': 1, 'bg_color': '#FB7299', 'border_color': '', 'use_img_label': True, 'img_label_uri_hans': '', 'img_label_uri_hant': '', 'img_label_uri_hans_static': 'https://i0.hdslb.com/bfs/bangumi/kt/b52851866abcee9029b1bfb025d4a6ede3d461a6.png', 'img_label_uri_hant_static': 'https://i0.hdslb.com/bfs/activity-plat/static/20220614/e369244d0b14644f5e1a06431e22a4d5/VEW8fCC0hg.png', 'label_id': 40, 'label_goto': {'mobile': '', 'pc_web': 'https://account.bilibili.com/big?from_spmid=vipicon'}}, 'avatar_subscript': 1, 'nickname_color': '#FB7299', 'role': 3, 'avatar_subscript_url': '', 'tv_vip_status': 0, 'tv_vip_pay_type': 0, 'tv_due_date': 1677945600, 'avatar_icon': {'icon_type': 3, 'icon_resource': {'type': 1, 'url': 'https://i0.hdslb.com/bfs/bangumi/kt/aba51485c0d02940c89aeefcf6680510d9858472.png'}}, 'vipType': 2, 'vipStatus': 1}",0.0,152.0,0.0,1064603.0,"[{'tag_id': 1214128, 'tag_name': '热点深度观察', 'music_id': '', 'tag_type': 'topic', 'jump_url': 'https://m.bilibili.com/topic-detail?topic_id=1214128&topic_name=%E7%83%AD%E7%82%B9%E6%B7%B1%E5%BA%A6%E8%A7%82%E5%AF%9F'}, {'tag_id': 536, 'tag_name': '原创', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 7729, 'tag_name': '高能', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 18393577, 'tag_name': '贵州榕江', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 77985801, 'tag_name': '榕江洪水', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 271305, 'tag_name': '自然灾害', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 37366, 'tag_name': '记录', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 177564, 'tag_name': '贵州', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 9265, 'tag_name': '希望', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 14032, 'tag_name': '洪水', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 74392116, 'tag_name': '青年用「财」图鉴6.0', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}]"
114646971387117,http://i2.hdslb.com/bfs/archive/0e62f07bd7f2dbd2fe507a73376c00175029872a.jpg,"意大利""感性哥""李家道前来报到:在中国拿完驾照又拿车！马上出发骑行中国！(外网评论版)",1749374523.0,"传送门:https://www.youtube.com/watch?v=I_SGonT_QRo
油管名:Ride with Gabi(24.3w粉丝)
发布于3个小时前，截至目前1000次播放，30条评论",250.0,出行,3546567858456935.0,1117.0,湖南,BV1WaTXzoEG4,2025-06-29 18:03:28.866369,1751191460.009366,1749374524.0,"[{'raw_text': '传送门:https://www.youtube.com/watch?v=I_SGonT_QRo\n油管名:Ride with Gabi(24.3w粉丝)\n发布于3个小时前，截至目前1000次播放，30条评论', 'type': 1, 'biz_id': 0}]",0.0,4037431.0,32851.0,436.0,133.0,88.0,75.0,11.0,920.0,"{'argue_msg': '', 'argue_type': 0, 'argue_link': ''}",30386620170.0,"{'width': 1920, 'height': 1080, 'rotate': 0}",{},"['西安', '旅游', '歪果仁', '骑行中国', '中国之旅', '胜利女神', '外网评论', '摩托之旅']",保密,https://i2.hdslb.com/bfs/face/d90ac27d01ad1603b2321c707fce7ef7e8a3fe4c.jpg,188654.0,14.0,带你见识大不同的世界，致力于把世界的美好带给各位！把油管的优质博主带到B站！,6.0,"{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': -1, 'desc': ''}","{'type': 2, 'status': 1, 'due_date': 1760284800000, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': 'http://i0.hdslb.com/bfs/vip/label_annual.png', 'text': '年度大会员', 'label_theme': 'annual_vip', 'text_color': '#FFFFFF', 'bg_style': 1, 'bg_color': '#FB7299', 'border_color': '', 'use_img_label': True, 'img_label_uri_hans': '', 'img_label_uri_hant': '', 'img_label_uri_hans_static': 'https://i0.hdslb.com/bfs/bangumi/kt/2332e4e6021d8a197532c16e1a69b1b4ebaf4320.png', 'img_label_uri_hant_static': 'https://i0.hdslb.com/bfs/activity-plat/static/20220614/e369244d0b14644f5e1a06431e22a4d5/uckjAv3Npy.png', 'label_id': 40, 'label_goto': {'mobile': '', 'pc_web': 'https://account.bilibili.com/big?from_spmid=vipicon'}}, 'avatar_subscript': 1, 'nickname_color': '#FB7299', 'role': 3, 'avatar_subscript_url': '', 'tv_vip_status': 1, 'tv_vip_pay_type': 0, 'tv_due_date': 1760284800, 'avatar_icon': {'icon_type': 3, 'icon_resource': {'type': 1, 'url': 'https://i0.hdslb.com/bfs/bangumi/kt/aba51485c0d02940c89aeefcf6680510d9858472.png'}}, 'vipType': 2, 'vipStatus': 1}",0.0,593.0,0.0,1860259.0,"[{'tag_id': 1291021, 'tag_name': '胜利女神创作者激励计划', 'music_id': '', 'tag_type': 'topic', 'jump_url': 'https://m.bilibili.com/topic-detail?topic_id=1291021&topic_name=%E8%83%9C%E5%88%A9%E5%A5%B3%E7%A5%9E%E5%88%9B%E4%BD%9C%E8%80%85%E6%BF%80%E5%8A%B1%E8%AE%A1%E5%88%92'}, {'tag_id': 28013, 'tag_name': '西安', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 6572, 'tag_name': '旅游', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 322082, 'tag_name': '歪果仁', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 503503, 'tag_name': '骑行中国', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 1166734, 'tag_name': '中国之旅', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 1413392, 'tag_name': '胜利女神', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 4766838, 'tag_name': '外网评论', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 7506628, 'tag_name': 'NIKKE', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 9624149, 'tag_name': '摩托之旅', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}, {'tag_id': 76574356, 'tag_name': '胜利女神国服公测创作者激励计划', 'music_id': '', 'tag_type': 'old_channel', 'jump_url': ''}]"
